X,Y,Z,user
-0.04549,0.016759,9.974244,1
-0.052672,0.023942,9.97185,1
-0.050278,0.02873,9.969456,1
-0.035913,0.038307,9.952697,1
-0.038307,0.016759,9.969456,1
-0.021548,0.009577,9.981427,1
-0.038307,0.035913,9.979033,1
-0.043096,0.011971,9.981427,1
-0.052672,0.014365,9.976639,1
-0.050278,0.026336,9.981427,1
-0.050278,0.040701,9.981427,1
-0.040701,0.016759,9.976639,1
-0.031125,0.007183,9.969456,1
-0.033519,0.014365,9.97185,1
-0.040701,0.023942,9.981427,1
-0.031125,0.023942,9.979033,1
-0.047884,0.033519,9.964667,1
-0.052672,0.02873,9.986216,1
-0.031125,0.023942,9.986216,1
-0.043096,0.026336,9.981427,1
-0.04549,0.021548,9.988609,1
-0.040701,0.031125,9.991004,1
