Var1_Timestamp,X,Var2_Timestamp,Y,Var3_Timestamp,Z
15-Feb-2025 08:23:15.156,0.122034,15-Feb-2025 08:23:15.156,0.074178,15-Feb-2025 08:23:15.156,9.834501
15-Feb-2025 08:23:15.177,0.112463,15-Feb-2025 08:23:15.177,0.069392,15-Feb-2025 08:23:15.177,9.834501
15-Feb-2025 08:23:15.196,0.102891,15-Feb-2025 08:23:15.196,0.078963,15-Feb-2025 08:23:15.196,9.844072
15-Feb-2025 08:23:15.216,0.098106,15-Feb-2025 08:23:15.216,0.083749,15-Feb-2025 08:23:15.216,9.834501
15-Feb-2025 08:23:15.236,0.112463,15-Feb-2025 08:23:15.236,0.078963,15-Feb-2025 08:23:15.236,9.848858
15-Feb-2025 08:23:15.256,0.112463,15-Feb-2025 08:23:15.256,0.069392,15-Feb-2025 08:23:15.256,9.844072
15-Feb-2025 08:23:15.276,0.102891,15-Feb-2025 08:23:15.276,0.069392,15-Feb-2025 08:23:15.276,9.844072
15-Feb-2025 08:23:15.296,0.102891,15-Feb-2025 08:23:15.296,0.078963,15-Feb-2025 08:23:15.296,9.848858
15-Feb-2025 08:23:15.316,0.112463,15-Feb-2025 08:23:15.316,0.078963,15-Feb-2025 08:23:15.316,9.848858
15-Feb-2025 08:23:15.336,0.112463,15-Feb-2025 08:23:15.336,0.078963,15-Feb-2025 08:23:15.336,9.839287
15-Feb-2025 08:23:15.356,0.102891,15-Feb-2025 08:23:15.356,0.083749,15-Feb-2025 08:23:15.356,9.848858
15-Feb-2025 08:23:15.376,0.117248,15-Feb-2025 08:23:15.376,0.074178,15-Feb-2025 08:23:15.376,9.848858
15-Feb-2025 08:23:15.396,0.107677,15-Feb-2025 08:23:15.396,0.064606,15-Feb-2025 08:23:15.396,9.844072
15-Feb-2025 08:23:15.416,0.117248,15-Feb-2025 08:23:15.416,0.074178,15-Feb-2025 08:23:15.416,9.848858
15-Feb-2025 08:23:15.436,0.112463,15-Feb-2025 08:23:15.436,0.074178,15-Feb-2025 08:23:15.436,9.848858
15-Feb-2025 08:23:15.456,0.102891,15-Feb-2025 08:23:15.456,0.083749,15-Feb-2025 08:23:15.456,9.848858
15-Feb-2025 08:23:15.476,0.107677,15-Feb-2025 08:23:15.476,0.078963,15-Feb-2025 08:23:15.476,9.848858
15-Feb-2025 08:23:15.496,0.112463,15-Feb-2025 08:23:15.496,0.083749,15-Feb-2025 08:23:15.496,9.853643
15-Feb-2025 08:23:15.516,0.102891,15-Feb-2025 08:23:15.516,0.078963,15-Feb-2025 08:23:15.516,9.848858
15-Feb-2025 08:23:15.536,0.112463,15-Feb-2025 08:23:15.536,0.069392,15-Feb-2025 08:23:15.536,9.844072
15-Feb-2025 08:23:15.556,0.117248,15-Feb-2025 08:23:15.556,0.074178,15-Feb-2025 08:23:15.556,9.844072
15-Feb-2025 08:23:15.576,0.102891,15-Feb-2025 08:23:15.576,0.078963,15-Feb-2025 08:23:15.576,9.839287
15-Feb-2025 08:23:15.596,0.107677,15-Feb-2025 08:23:15.596,0.064606,15-Feb-2025 08:23:15.596,9.839287
15-Feb-2025 08:23:15.616,0.117248,15-Feb-2025 08:23:15.616,0.069392,15-Feb-2025 08:23:15.616,9.858429
15-Feb-2025 08:23:15.636,0.122034,15-Feb-2025 08:23:15.636,0.083749,15-Feb-2025 08:23:15.636,9.858429
15-Feb-2025 08:23:15.656,0.102891,15-Feb-2025 08:23:15.656,0.078963,15-Feb-2025 08:23:15.656,9.839287
15-Feb-2025 08:23:15.677,0.102891,15-Feb-2025 08:23:15.677,0.064606,15-Feb-2025 08:23:15.677,9.844072
15-Feb-2025 08:23:15.696,0.102891,15-Feb-2025 08:23:15.696,0.074178,15-Feb-2025 08:23:15.696,9.848858
15-Feb-2025 08:23:15.716,0.102891,15-Feb-2025 08:23:15.716,0.069392,15-Feb-2025 08:23:15.716,9.844072
15-Feb-2025 08:23:15.736,0.112463,15-Feb-2025 08:23:15.736,0.069392,15-Feb-2025 08:23:15.736,9.858429
15-Feb-2025 08:23:15.756,0.122034,15-Feb-2025 08:23:15.756,0.088534,15-Feb-2025 08:23:15.756,9.858429
15-Feb-2025 08:23:15.776,0.107677,15-Feb-2025 08:23:15.776,0.083749,15-Feb-2025 08:23:15.776,9.853643
15-Feb-2025 08:23:15.796,0.107677,15-Feb-2025 08:23:15.796,0.069392,15-Feb-2025 08:23:15.796,9.839287
15-Feb-2025 08:23:15.816,0.107677,15-Feb-2025 08:23:15.816,0.069392,15-Feb-2025 08:23:15.816,9.848858
15-Feb-2025 08:23:15.835,0.102891,15-Feb-2025 08:23:15.835,0.088534,15-Feb-2025 08:23:15.835,9.858429
15-Feb-2025 08:23:15.856,0.107677,15-Feb-2025 08:23:15.856,0.098106,15-Feb-2025 08:23:15.856,9.848858
15-Feb-2025 08:23:15.876,0.112463,15-Feb-2025 08:23:15.876,0.074178,15-Feb-2025 08:23:15.876,9.853643
15-Feb-2025 08:23:15.896,0.107677,15-Feb-2025 08:23:15.896,0.098106,15-Feb-2025 08:23:15.896,9.853643
15-Feb-2025 08:23:15.916,0.107677,15-Feb-2025 08:23:15.916,0.078963,15-Feb-2025 08:23:15.916,9.844072
15-Feb-2025 08:23:15.936,0.117248,15-Feb-2025 08:23:15.936,0.078963,15-Feb-2025 08:23:15.936,9.844072
15-Feb-2025 08:23:15.956,0.107677,15-Feb-2025 08:23:15.956,0.083749,15-Feb-2025 08:23:15.956,9.853643
15-Feb-2025 08:23:15.976,0.107677,15-Feb-2025 08:23:15.976,0.083749,15-Feb-2025 08:23:15.976,9.858429
15-Feb-2025 08:23:15.996,0.102891,15-Feb-2025 08:23:15.996,0.083749,15-Feb-2025 08:23:15.996,9.844072
15-Feb-2025 08:23:16.016,0.102891,15-Feb-2025 08:23:16.016,0.078963,15-Feb-2025 08:23:16.016,9.839287
15-Feb-2025 08:23:16.036,0.117248,15-Feb-2025 08:23:16.036,0.09332,15-Feb-2025 08:23:16.036,9.853643
15-Feb-2025 08:23:16.056,0.112463,15-Feb-2025 08:23:16.056,0.088534,15-Feb-2025 08:23:16.056,9.853643
15-Feb-2025 08:23:16.076,0.102891,15-Feb-2025 08:23:16.076,0.064606,15-Feb-2025 08:23:16.076,9.853643
15-Feb-2025 08:23:16.096,0.102891,15-Feb-2025 08:23:16.096,0.078963,15-Feb-2025 08:23:16.096,9.848858
15-Feb-2025 08:23:16.116,0.107677,15-Feb-2025 08:23:16.116,0.088534,15-Feb-2025 08:23:16.116,9.853643
15-Feb-2025 08:23:16.136,0.107677,15-Feb-2025 08:23:16.136,0.083749,15-Feb-2025 08:23:16.136,9.839287
15-Feb-2025 08:23:16.156,0.117248,15-Feb-2025 08:23:16.156,0.09332,15-Feb-2025 08:23:16.156,9.844072
15-Feb-2025 08:23:16.176,0.112463,15-Feb-2025 08:23:16.176,0.069392,15-Feb-2025 08:23:16.176,9.853643
15-Feb-2025 08:23:16.196,0.112463,15-Feb-2025 08:23:16.196,0.074178,15-Feb-2025 08:23:16.196,9.844072
15-Feb-2025 08:23:16.216,0.102891,15-Feb-2025 08:23:16.216,0.088534,15-Feb-2025 08:23:16.216,9.839287
15-Feb-2025 08:23:16.236,0.102891,15-Feb-2025 08:23:16.236,0.078963,15-Feb-2025 08:23:16.236,9.858429
15-Feb-2025 08:23:16.256,0.102891,15-Feb-2025 08:23:16.256,0.074178,15-Feb-2025 08:23:16.256,9.848858
15-Feb-2025 08:23:16.276,0.107677,15-Feb-2025 08:23:16.276,0.083749,15-Feb-2025 08:23:16.276,9.844072
15-Feb-2025 08:23:16.296,0.102891,15-Feb-2025 08:23:16.296,0.074178,15-Feb-2025 08:23:16.296,9.848858
15-Feb-2025 08:23:16.316,0.107677,15-Feb-2025 08:23:16.316,0.078963,15-Feb-2025 08:23:16.316,9.863214
15-Feb-2025 08:23:16.336,0.117248,15-Feb-2025 08:23:16.336,0.083749,15-Feb-2025 08:23:16.336,9.848858
15-Feb-2025 08:23:16.356,0.117248,15-Feb-2025 08:23:16.356,0.078963,15-Feb-2025 08:23:16.356,9.853643
15-Feb-2025 08:23:16.376,0.102891,15-Feb-2025 08:23:16.376,0.083749,15-Feb-2025 08:23:16.376,9.858429
15-Feb-2025 08:23:16.396,0.107677,15-Feb-2025 08:23:16.396,0.074178,15-Feb-2025 08:23:16.396,9.853643
15-Feb-2025 08:23:16.416,0.107677,15-Feb-2025 08:23:16.416,0.078963,15-Feb-2025 08:23:16.416,9.858429
15-Feb-2025 08:23:16.436,0.112463,15-Feb-2025 08:23:16.436,0.078963,15-Feb-2025 08:23:16.436,9.848858
15-Feb-2025 08:23:16.456,0.107677,15-Feb-2025 08:23:16.456,0.083749,15-Feb-2025 08:23:16.456,9.839287
15-Feb-2025 08:23:16.476,0.112463,15-Feb-2025 08:23:16.476,0.078963,15-Feb-2025 08:23:16.476,9.853643
15-Feb-2025 08:23:16.496,0.117248,15-Feb-2025 08:23:16.496,0.074178,15-Feb-2025 08:23:16.496,9.844072
15-Feb-2025 08:23:16.516,0.107677,15-Feb-2025 08:23:16.516,0.083749,15-Feb-2025 08:23:16.516,9.853643
15-Feb-2025 08:23:16.536,0.098106,15-Feb-2025 08:23:16.536,0.078963,15-Feb-2025 08:23:16.536,9.853643
15-Feb-2025 08:23:16.556,0.102891,15-Feb-2025 08:23:16.556,0.078963,15-Feb-2025 08:23:16.556,9.844072
15-Feb-2025 08:23:16.576,0.117248,15-Feb-2025 08:23:16.576,0.088534,15-Feb-2025 08:23:16.576,9.853643
15-Feb-2025 08:23:16.596,0.098106,15-Feb-2025 08:23:16.596,0.083749,15-Feb-2025 08:23:16.596,9.844072
15-Feb-2025 08:23:16.616,0.107677,15-Feb-2025 08:23:16.616,0.074178,15-Feb-2025 08:23:16.616,9.848858
15-Feb-2025 08:23:16.636,0.117248,15-Feb-2025 08:23:16.636,0.074178,15-Feb-2025 08:23:16.636,9.848858
15-Feb-2025 08:23:16.656,0.098106,15-Feb-2025 08:23:16.656,0.074178,15-Feb-2025 08:23:16.656,9.858429
15-Feb-2025 08:23:16.676,0.107677,15-Feb-2025 08:23:16.676,0.078963,15-Feb-2025 08:23:16.676,9.858429
15-Feb-2025 08:23:16.696,0.102891,15-Feb-2025 08:23:16.696,0.078963,15-Feb-2025 08:23:16.696,9.858429
15-Feb-2025 08:23:16.716,0.112463,15-Feb-2025 08:23:16.716,0.078963,15-Feb-2025 08:23:16.716,9.844072
15-Feb-2025 08:23:16.736,0.098106,15-Feb-2025 08:23:16.736,0.074178,15-Feb-2025 08:23:16.736,9.853643
15-Feb-2025 08:23:16.756,0.112463,15-Feb-2025 08:23:16.756,0.083749,15-Feb-2025 08:23:16.756,9.853643
15-Feb-2025 08:23:16.776,0.122034,15-Feb-2025 08:23:16.776,0.078963,15-Feb-2025 08:23:16.776,9.853643
15-Feb-2025 08:23:16.796,0.098106,15-Feb-2025 08:23:16.796,0.083749,15-Feb-2025 08:23:16.796,9.848858
15-Feb-2025 08:23:16.816,0.098106,15-Feb-2025 08:23:16.816,0.069392,15-Feb-2025 08:23:16.816,9.858429
15-Feb-2025 08:23:16.836,0.107677,15-Feb-2025 08:23:16.836,0.055035,15-Feb-2025 08:23:16.836,9.853643
15-Feb-2025 08:23:16.856,0.112463,15-Feb-2025 08:23:16.856,0.074178,15-Feb-2025 08:23:16.856,9.853643
15-Feb-2025 08:23:16.876,0.117248,15-Feb-2025 08:23:16.876,0.088534,15-Feb-2025 08:23:16.876,9.863214
15-Feb-2025 08:23:16.896,0.098106,15-Feb-2025 08:23:16.896,0.078963,15-Feb-2025 08:23:16.896,9.863214
15-Feb-2025 08:23:16.915,0.098106,15-Feb-2025 08:23:16.915,0.074178,15-Feb-2025 08:23:16.915,9.848858
15-Feb-2025 08:23:16.935,0.102891,15-Feb-2025 08:23:16.935,0.078963,15-Feb-2025 08:23:16.935,9.853643
15-Feb-2025 08:23:16.955,0.117248,15-Feb-2025 08:23:16.955,0.09332,15-Feb-2025 08:23:16.955,9.848858
15-Feb-2025 08:23:16.975,0.112463,15-Feb-2025 08:23:16.975,0.083749,15-Feb-2025 08:23:16.975,9.844072
15-Feb-2025 08:23:16.995,0.112463,15-Feb-2025 08:23:16.995,0.088534,15-Feb-2025 08:23:16.995,9.839287
15-Feb-2025 08:23:17.015,0.088534,15-Feb-2025 08:23:17.015,0.09332,15-Feb-2025 08:23:17.015,9.844072
15-Feb-2025 08:23:17.035,0.107677,15-Feb-2025 08:23:17.035,0.083749,15-Feb-2025 08:23:17.035,9.853643
15-Feb-2025 08:23:17.055,0.112463,15-Feb-2025 08:23:17.055,0.083749,15-Feb-2025 08:23:17.055,9.848858
15-Feb-2025 08:23:17.075,0.102891,15-Feb-2025 08:23:17.075,0.083749,15-Feb-2025 08:23:17.075,9.848858
15-Feb-2025 08:23:17.095,0.102891,15-Feb-2025 08:23:17.095,0.074178,15-Feb-2025 08:23:17.095,9.839287
15-Feb-2025 08:23:17.115,0.102891,15-Feb-2025 08:23:17.115,0.083749,15-Feb-2025 08:23:17.115,9.848858
15-Feb-2025 08:23:17.135,0.102891,15-Feb-2025 08:23:17.135,0.083749,15-Feb-2025 08:23:17.135,9.853643
